Title,Doi,PMID,Classification
The genome sequence of Caenorhabditis briggsae: a platform for comparative genomics.,https://doi.org/10.1371/journal.pbio.0000045,PMID: 14624247,New FindingTechnical Advance
Quantifying the impact and relevance of scientific research.,https://doi.org/10.1371/journal.pone.0027537,PMID: 22110667,New FindingTechnical Advance
LTP promotes a selective long-term stabilization and clustering of dendritic spines.,https://doi.org/10.1371/journal.pbio.0060219,PMID: 18788894,Interesting HypothesisNew Finding
Oriented scanning is the leading mechanism underlying 5' splice site selection in mammals.,https://doi.org/10.1371/journal.pgen.0020138,PMID: 16948532,Interesting HypothesisNew Finding
Long-distance delivery of bacterial virulence factors by Pseudomonas aeruginosa outer membrane vesicles.,https://doi.org/10.1371/journal.ppat.1000382,PMID: 19360133,Interesting Hypothesis
BIN1 localizes the L-type calcium channel to cardiac T-tubules.,https://doi.org/10.1371/journal.pbio.1000312,PMID: 20169111,New Finding
tRNAs promote nuclear import of HIV-1 intracellular reverse transcription complexes.,https://doi.org/10.1371/journal.pbio.0040332,PMID: 17020411,Interesting HypothesisNew Finding
Maternal and neonatal glycaemic control after antenatal corticosteroid administration in women with diabetes in pregnancy: A retrospective cohort study.,https://doi.org/10.1371/journal.pone.0246175,PMID: 33600450,ConfirmationNew Finding
Drosophila interspecific hybrids phenocopy piRNA-pathway mutants.,https://doi.org/10.1371/journal.pbio.1001428,PMID: 23189033,ConfirmationInteresting HypothesisNew Finding
The bi-functional organization of human basement membranes.,https://doi.org/10.1371/journal.pone.0067660,PMID: 23844050,ConfirmationNew FindingTechnical Advance
EGFR signaling coordinates patterning with cell survival during Drosophila epidermal development.,https://doi.org/10.1371/journal.pbio.3000027,PMID: 30379844,New Finding
Alternative splicing and subfunctionalization generates functional diversity in fungal proteomes.,https://doi.org/10.1371/journal.pgen.1003376,PMID: 23516382,ConfirmationNew Finding
Socio-economic and Climate Factors Associated with Dengue Fever Spatial Heterogeneity: A Worked Example in New Caledonia.,https://doi.org/10.1371/journal.pntd.0004211,PMID: 26624008,ConfirmationGood for Teaching
Stochastic noise and synchronisation during dictyostelium aggregation make cAMP oscillations robust.,https://doi.org/10.1371/journal.pcbi.0030218,PMID: 17997595,Interesting Hypothesis
Emergence of a stable cortical map for neuroprosthetic control.,https://doi.org/10.1371/journal.pbio.1000153,PMID: 19621062,Interesting HypothesisNew FindingTechnical Advance
Conserved function of the matriptase-prostasin proteolytic cascade during epithelial morphogenesis.,https://doi.org/10.1371/journal.pgen.1007882,PMID: 30601807,New Finding
Mutual mate choice: when it pays both sexes to avoid inbreeding.,https://doi.org/10.1371/journal.pone.0003365,PMID: 18843373,New Finding
Neuropilin-1/GIPC1 signaling regulates alpha5beta1 integrin traffic and function in endothelial cells.,https://doi.org/10.1371/journal.pbio.1000025,PMID: 19175293,Interesting HypothesisNew FindingNovel Drug Target
Aberrant localization of FUS and TDP43 is associated with misfolding of SOD1 in amyotrophic lateral sclerosis.,https://doi.org/10.1371/journal.pone.0035050,PMID: 22493728,ConfirmationNew Finding
Spore-autonomous fluorescent protein expression identifies meiotic chromosome mis-segregation as the principal cause of hybrid sterility in yeast.,https://doi.org/10.1371/journal.pbio.2005066,PMID: 30419022,Good for TeachingInteresting HypothesisNew FindingTechnical Advance
Uterine natural killer cells in peri-implantation endometrium from women with repeated implantation failure after IVF.,https://doi.org/10.1016/j.jri.2010.07.001,PMID: 20800899,Confirmation
"The structure of Mediterranean rocky reef ecosystems across environmental and human gradients, and conservation implications.",https://doi.org/10.1371/journal.pone.0032742,PMID: 22393445,Confirmation
Epigenetically-inherited centromere and neocentromere DNA replicates earliest in S-phase.,https://doi.org/10.1371/journal.pgen.1001068,PMID: 20808889,ConfirmationNew Finding
CpG methylation controls reactivation of HIV from latency.,https://doi.org/10.1371/journal.ppat.1000554,PMID: 19696893,New Finding
Lactic acid bacteria convert human fibroblasts to multipotent cells.,https://doi.org/10.1371/journal.pone.0051866,PMID: 23300571,ControversialInteresting HypothesisNew FindingTechnical Advance
Sir2-independent life span extension by calorie restriction in yeast.,https://doi.org/10.1371/journal.pbio.0020296,PMID: 15328540,ControversialNew Finding
Inside the mind of a medicinal chemist: the role of human bias in compound prioritization during drug discovery.,https://doi.org/10.1371/journal.pone.0048476,PMID: 23185259,ConfirmationGood for TeachingNew Finding
Hematopoietic stem cells in neonates: any differences between very preterm and term neonates?,https://doi.org/10.1371/journal.pone.0106717,PMID: 25181353,Confirmation
Development of non-transgenic glyphosate tolerant wheat by TILLING.,https://doi.org/10.1371/journal.pone.0245802,PMID: 34525118,Technical Advance
Liver stiffness by transient elastography predicts liver-related complications and mortality in patients with chronic liver disease.,https://doi.org/10.1371/journal.pone.0095776,PMID: 24755824,Confirmation
The global research neglect of unassisted smoking cessation: causes and consequences.,https://doi.org/10.1371/journal.pmed.1000216,PMID: 20161722,New Finding
The effects of tertiary and quaternary infections on the epidemiology of dengue.,https://doi.org/10.1371/journal.pone.0012347,PMID: 20808806,ControversialInteresting Hypothesis
Parallel exploitation of diverse host nutrients enhances Salmonella virulence.,https://doi.org/10.1371/journal.ppat.1003301,PMID: 23633950,New Finding
Sucrose utilization in budding yeast as a model for the origin of undifferentiated multicellularity.,https://doi.org/10.1371/journal.pbio.1001122,PMID: 21857801,New Finding
Diverse modes of axon elaboration in the developing neocortex.,https://doi.org/10.1371/journal.pbio.0030272,PMID: 16026180,ConfirmationNew FindingTechnical Advance
Modelling the evolutionary dynamics of viruses within their hosts: a case study using high-throughput sequencing.,https://doi.org/10.1371/journal.ppat.1002654,PMID: 22532800,ConfirmationTechnical Advance
The ability to enhance the solubility of its fusion partners is an intrinsic property of maltose-binding protein but their folding is either spontaneous or chaperone-mediated.,https://doi.org/10.1371/journal.pone.0049589,PMID: 23166722,Interesting Hypothesis
"Shale gas activity and increased rates of sexually transmitted infections in Ohio, 2000-2016.",https://doi.org/10.1371/journal.pone.0194203,PMID: 29570712,ConfirmationNew Finding
Single nucleus genome sequencing reveals high similarity among nuclei of an endomycorrhizal fungus.,https://doi.org/10.1371/journal.pgen.1004078,PMID: 24415955,New FindingTechnical Advance
Tissue invasion by Entamoeba histolytica: evidence of genetic selection and/or DNA reorganization events in organ tropism.,https://doi.org/10.1371/journal.pntd.0000219,PMID: 18398490,Interesting HypothesisNew Finding
Moderate Levels of Pre-Treatment HIV-1 Antiretroviral Drug Resistance Detected in the First South African National Survey.,https://doi.org/10.1371/journal.pone.0166305,PMID: 27907009,New Finding
Walk on the wild side: estimating the global magnitude of visits to protected areas.,https://doi.org/10.1371/journal.pbio.1002074,PMID: 25710450,New Finding
Common regulatory variation impacts gene expression in a cell type-dependent manner.,https://doi.org/10.1126/science.1174148,PMID: 19644074,Confirmation
Salmonella enterica serovar typhimurium exploits inflammation to compete with the intestinal microbiota.,https://doi.org/10.1371/journal.pbio.0050244,PMID: 17760501,Interesting HypothesisNew Finding
A tail-like assembly at the portal vertex in intact herpes simplex type-1 virions.,https://doi.org/10.1371/journal.ppat.1002961,PMID: 23055933,New Finding
Aging and death in an organism that reproduces by morphologically symmetric division.,https://doi.org/10.1371/journal.pbio.0030045,PMID: 15685293,ControversialInteresting HypothesisNew FindingTechnical Advance
Elimination of Schistosoma mansoni Adult Worms by Rhesus Macaques: Basis for a Therapeutic Vaccine?,https://doi.org/10.1371/journal.pntd.0000290,PMID: 18820739,Interesting HypothesisNew FindingNovel Drug Target
The sex of specific neurons controls female body growth in Drosophila.,https://doi.org/10.1371/journal.pbio.2002252,PMID: 28976974,Good for TeachingInteresting HypothesisNew Finding
Towards a synthetic chloroplast.,https://doi.org/10.1371/journal.pone.0018877,PMID: 21533097,New FindingTechnical Advance
Clostridium difficile Toxin B causes epithelial cell necrosis through an autoprocessing-independent mechanism.,https://doi.org/10.1371/journal.ppat.1003072,PMID: 23236283,ControversialInteresting HypothesisNew FindingNovel Drug Target
"Shifting baselines, local impacts, and global change on coral reefs.",https://doi.org/10.1371/journal.pbio.0060054,PMID: 18303956,ControversialInteresting Hypothesis
Leukocyte-derived IFN-Î±/Î² and epithelial IFN-Î» constitute a compartmentalized mucosal defense system that restricts enteric virus infections.,https://doi.org/10.1371/journal.ppat.1004782,PMID: 25849543,ConfirmationGood for TeachingInteresting HypothesisNew Finding
Disordered IL-33/ST2 activation in decidualizing stromal cells prolongs uterine receptivity in women with recurrent pregnancy loss.,https://doi.org/10.1371/journal.pone.0052252,PMID: 23300625,New Finding
Host cell-derived lactate functions as an effector molecule in Neisseria meningitidis microcolony dispersal.,https://doi.org/10.1371/journal.ppat.1006251,PMID: 28384279,Interesting HypothesisNew Finding
The human nasal microbiota and Staphylococcus aureus carriage.,https://doi.org/10.1371/journal.pone.0010598,PMID: 20498722,Interesting HypothesisNew FindingTechnical Advance
The genetic architecture of parallel armor plate reduction in threespine sticklebacks.,https://doi.org/10.1371/journal.pbio.0020109,PMID: 15069472,Confirmation
Role of the AP-5 adaptor protein complex in late endosome-to-Golgi retrieval.,https://doi.org/10.1371/journal.pbio.2004411,PMID: 29381698,Interesting HypothesisNew Finding
Rarity value and species extinction: the anthropogenic Allee effect.,https://doi.org/10.1371/journal.pbio.0040415,PMID: 17132047,ControversialInteresting Hypothesis
Circadian-related heteromerization of adrenergic and dopamine Dâ‚?receptors modulates melatonin synthesis and release in the pineal gland.,https://doi.org/10.1371/journal.pbio.1001347,PMID: 22723743,Good for TeachingInteresting HypothesisNew Finding
Emerin caps the pointed end of actin filaments: evidence for an actin cortical network at the nuclear inner membrane.,https://doi.org/10.1371/journal.pbio.0020231,PMID: 15328537,Interesting HypothesisNew Finding
Identification of CIITA regulated genetic module dedicated for antigen presentation.,https://doi.org/10.1371/journal.pgen.1000058,PMID: 18437201,New Finding
Dynamics and design principles of a basic regulatory architecture controlling metabolic pathways.,https://doi.org/10.1371/journal.pbio.0060146,PMID: 18563967,New FindingTechnical Advance
Evaluation of excess significance bias in animal studies of neurological diseases.,https://doi.org/10.1371/journal.pbio.1001609,PMID: 23874156,ControversialInteresting HypothesisNew Finding
Electron microscopic characteristics of interstitial cystitis/bladder pain syndrome and their association with clinical condition.,https://doi.org/10.1371/journal.pone.0198816,PMID: 29879217,New Finding
"Additions, losses, and rearrangements on the evolutionary route from a reconstructed ancestor to the modern Saccharomyces cerevisiae genome.",https://doi.org/10.1371/journal.pgen.1000485,PMID: 19436716,New Finding
Helicobacter pylori usurps cell polarity to turn the cell surface into a replicative niche.,https://doi.org/10.1371/journal.ppat.1000407,PMID: 19412339,Interesting HypothesisNew Finding
Infectious particle identity determines dissemination and disease outcome for the inhaled human fungal pathogen Cryptococcus.,https://doi.org/10.1371/journal.ppat.1007777,PMID: 31247052,New FindingTechnical Advance
Media coverage of medical journals: do the best articles make the news?,https://doi.org/10.1371/journal.pone.0085355,PMID: 24465543,Interesting Hypothesis
A model-based approach for identifying signatures of ancient balancing selection in genetic data.,https://doi.org/10.1371/journal.pgen.1004561,PMID: 25144706,Good for TeachingNew FindingTechnical Advance
Suppression of annexin A1 and its receptor reduces herpes simplex virus 1 lethality in mice.,https://doi.org/10.1371/journal.ppat.1010692,PMID: 35939498,New FindingNovel Drug Target
Accelerated adaptive evolution on a newly formed X chromosome.,https://doi.org/10.1371/journal.pbio.1000082,PMID: 19402745,ConfirmationNew Finding
The establishment of variant surface glycoprotein monoallelic expression revealed by single-cell RNA-seq of Trypanosoma brucei in the tsetse fly salivary glands.,https://doi.org/10.1371/journal.ppat.1009904,PMID: 34543350,Good for Teaching
Stress-sensitive antidepressant-like effects of ketamine in the mouse forced swim test.,https://doi.org/10.1371/journal.pone.0215554,PMID: 30986274,New Finding
A high precision survey of the molecular dynamics of mammalian clathrin-mediated endocytosis.,https://doi.org/10.1371/journal.pbio.1000604,PMID: 21445324,ConfirmationControversialNew FindingTechnical Advance
The epidermal growth factor receptor (EGFR) promotes uptake of influenza A viruses (IAV) into host cells.,https://doi.org/10.1371/journal.ppat.1001099,PMID: 20844577,Interesting Hypothesis
How the microbiome challenges our concept of self.,https://doi.org/10.1371/journal.pbio.2005358,PMID: 29425197,Good for Teaching
Integrating genome-wide genetic variations and monocyte expression data reveals trans-regulated gene modules in humans.,https://doi.org/10.1371/journal.pgen.1002367,PMID: 22144904,New FindingNovel Drug TargetTechnical Advance
More than 75 percent decline over 27 years in total flying insect biomass in protected areas.,https://doi.org/10.1371/journal.pone.0185809,PMID: 29045418,ConfirmationControversialGood for TeachingInteresting HypothesisNew Finding
MicroRNAs Are Involved in the Regulation of Ovary Development in the Pathogenic Blood Fluke Schistosoma japonicum.,https://doi.org/10.1371/journal.ppat.1005423,PMID: 26871705,New Finding
"The burden of bacterial vaginosis: women's experience of the physical, emotional, sexual and social impact of living with recurrent bacterial vaginosis.",https://doi.org/10.1371/journal.pone.0074378,PMID: 24040236,Confirmation
Mitochondrial nicotinamide adenine dinucleotide reduced (NADH) oxidation links the tricarboxylic acid (TCA) cycle with methionine metabolism and nuclear DNA methylation.,https://doi.org/10.1371/journal.pbio.2005707,PMID: 29668680,New Finding
A histone-like protein of mycobacteria possesses ferritin superfamily protein-like activity and protects against DNA damage by Fenton reaction.,https://doi.org/10.1371/journal.pone.0020985,PMID: 21698192,New Finding
Global analysis of small molecule binding to related protein targets.,https://doi.org/10.1371/journal.pcbi.1002333,PMID: 22253582,New Finding
Cell Fate Decision as High-Dimensional Critical State Transition.,https://doi.org/10.1371/journal.pbio.2000640,PMID: 28027308,New Finding
Gene by Environment Interactions reveal new regulatory aspects of signaling network plasticity.,https://doi.org/10.1371/journal.pgen.1009988,PMID: 34982769,New Finding
"A genetically encoded tag for correlated light and electron microscopy of intact cells, tissues, and organisms.",https://doi.org/10.1371/journal.pbio.1001041,PMID: 21483721,New FindingTechnical Advance
A prospective study of diet quality and mental health in adolescents.,https://doi.org/10.1371/journal.pone.0024805,PMID: 21957462,New Finding
Strain-level diversity of secondary metabolism in Streptomyces albus.,https://doi.org/10.1371/journal.pone.0116457,PMID: 25635820,New Finding
Host biology in light of the microbiome: ten principles of holobionts and hologenomes.,https://doi.org/10.1371/journal.pbio.1002226,PMID: 26284777,ControversialGood for TeachingInteresting Hypothesis
Crystal structure of the Hendra virus attachment G glycoprotein bound to a potent cross-reactive neutralizing human monoclonal antibody.,https://doi.org/10.1371/journal.ppat.1003684,PMID: 24130486,ControversialGood for TeachingNew FindingNovel Drug Target
Implications of current therapeutic restrictions for primaquine and tafenoquine in the radical cure of vivax malaria.,https://doi.org/10.1371/journal.pntd.0006440,PMID: 29677199,New Finding
MeCP2 recognizes cytosine methylated tri-nucleotide and di-nucleotide sequences to tune transcription in the mammalian brain.,https://doi.org/10.1371/journal.pgen.1006793,PMID: 28498846,Interesting Hypothesis
Targeted metabolomics identifies reliable and stable metabolites in human serum and plasma samples.,https://doi.org/10.1371/journal.pone.0089728,PMID: 24586991,New FindingTechnical Advance
G Regulates Coupling between Actin Oscillators for Cell Polarity and Directional Migration.,https://doi.org/10.1371/journal.pbio.1002381,PMID: 26890004,New Finding
Filamentous fungi in respiratory infections. what lies beyond aspergillosis and mucormycosis?,https://doi.org/10.1371/journal.ppat.1005491,PMID: 27124489,New Finding
Two years later: journals are not yet enforcing the ARRIVE guidelines on reporting standards for pre-clinical animal studies.,https://doi.org/10.1371/journal.pbio.1001756,PMID: 24409096,Good for Teaching
Anthrax lethal factor cleavage of Nlrp1 is required for activation of the inflammasome,https://doi.org/10.1371/journal.ppat.1002638,PMID: 22479187,New Finding
Molecular diagnosis of patients with epilepsy and developmental delay using a customized panel of epilepsy genes,https://doi.org/10.1371/journal.pone.0188978,PMID: 29190809,New Finding
"Inducing autophagy by rapamycin before, but not after, the formation of plaques and tangles ameliorates cognitive deficits.",https://doi.org/10.1371/journal.pone.0025416,PMID:?21980451,New Finding
Combined use of protein biomarkers and network analysis unveils deregulated regulatory circuits in Duchenne muscular dystrophy.,https://doi.org/10.1371/journal.pone.0194225,PMID: 29529088,New Finding
